                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3819,                0.83985,                0.91347,                0.85331,                0.74231,                0.80494,                0.59091,                 1.4384,                0.86894,                0.93869,             0.00019528,             0.00019528,             0.00019528
                      2,                 1.3748,                0.84285,                0.91081,                0.82916,                0.74008,                0.80079,                0.58443,                 1.4292,                0.88858,                 0.9424,             0.00038741,             0.00038741,             0.00038741
                      3,                 1.4366,                 0.8816,                0.92755,                0.81733,                0.72756,                0.78547,                0.56026,                 1.4529,                0.89748,                 0.9453,             0.00057565,             0.00057565,             0.00057565
                      4,                 1.4475,                0.89322,                 0.9335,                0.78861,                0.75011,                0.79392,                0.57066,                 1.4487,                 0.8942,                 0.9468,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.4292,                0.88761,                0.92427,                0.81485,                0.71929,                0.79005,                0.57136,                 1.4455,                0.88484,                0.94274,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.4282,                0.88632,                0.91922,                0.82521,                0.73664,                0.79434,                0.57829,                 1.4475,                0.89664,                0.94319,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.4342,                0.88254,                0.92539,                0.84075,                0.73463,                0.79213,                0.56368,                 1.4723,                0.90056,                0.94616,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.4022,                0.87573,                0.91895,                0.83335,                0.71578,                0.79308,                 0.5736,                 1.4654,                0.91664,                0.94687,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.4052,                0.87003,                0.92081,                0.79859,                0.75228,                0.80223,                0.57773,                 1.4647,                0.89504,                0.94701,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.4256,                0.89272,                0.92218,                0.83136,                0.72568,                0.78799,                0.56683,                 1.4613,                0.89969,                0.94647,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.4283,                0.88949,                0.92302,                0.85415,                0.70801,                0.78939,                0.56307,                 1.5112,                0.91258,                0.95943,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.4257,                0.88792,                0.92353,                0.80334,                0.73307,                0.79553,                0.57811,                 1.4423,                0.89404,                0.94007,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.3722,                0.86022,                0.91742,                0.80505,                0.75023,                0.79814,                0.57902,                 1.4459,                0.89125,                0.94457,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.4103,                0.87429,                0.91981,                0.83418,                0.73913,                0.80362,                0.58628,                 1.4369,                0.87218,                0.94083,             0.00051815,             0.00051815,             0.00051815
                     15,                  1.402,                0.87316,                0.92319,                0.83296,                0.71413,                0.79521,                0.57559,                   1.44,                0.89961,                0.94102,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.4099,                 0.8819,                0.92133,                0.81377,                0.74946,                0.79999,                0.57974,                 1.4472,                0.88406,                0.94082,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.4158,                0.88001,                0.92455,                 0.8206,                0.73325,                0.79381,                0.57686,                 1.4365,                0.87859,                 0.9416,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.4038,                0.86885,                0.91891,                0.82923,                0.73017,                 0.7907,                0.57175,                 1.4558,                0.88922,                0.94426,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.3864,                0.85692,                0.91943,                 0.8494,                0.74722,                0.80861,                0.58642,                 1.4386,                0.87675,                0.94044,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.3895,                0.86282,                0.91541,                0.80101,                0.73321,                0.78231,                0.56023,                 1.4643,                 0.8934,                0.94358,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.4097,                0.86666,                0.91838,                0.80463,                0.73971,                0.78971,                0.56444,                 1.4701,                0.88065,                0.95058,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.3841,                 0.8539,                0.91648,                0.83822,                0.73618,                0.80365,                0.58653,                 1.4313,                0.87454,                0.94149,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.3911,                0.85493,                 0.9182,                0.82337,                0.75288,                0.80435,                0.58056,                 1.4392,                0.86479,                0.94452,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.3995,                 0.8512,                0.91834,                0.83496,                0.72269,                0.79099,                0.57717,                 1.4453,                0.87425,                0.94376,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.4014,                 0.8486,                0.91859,                0.81674,                0.74282,                0.80172,                0.58221,                 1.4393,                0.87486,                0.94265,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.4025,                0.85512,                0.91675,                0.83595,                0.74584,                0.80015,                0.58345,                 1.4231,                 0.8585,                0.93815,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.3903,                0.84594,                   0.92,                0.83013,                0.74185,                0.80282,                0.57934,                 1.4511,                0.86459,                0.94664,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.3984,                0.86407,                0.91723,                0.84183,                0.74696,                0.81084,                0.57773,                 1.4489,                 0.8924,                0.94583,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.4004,                0.85939,                0.91866,                0.82214,                0.72707,                0.79687,                0.57845,                 1.4414,                0.88987,                0.94205,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.3922,                0.84886,                 0.9145,                0.82497,                0.75694,                0.80941,                0.58781,                 1.4572,                0.88627,                0.94576,             0.00042501,             0.00042501,             0.00042501
                     31,                 1.3963,                0.86218,                0.91836,                0.85834,                0.73264,                0.79776,                0.58433,                 1.4461,                0.88373,                0.94321,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.3919,                0.84599,                0.91529,                0.81361,                0.74953,                0.80134,                0.58628,                 1.4435,                0.86863,                0.94155,             0.00041336,             0.00041336,             0.00041336
