                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4614,                  0.932,                0.93273,                 0.8046,                0.72848,                0.77216,                0.55389,                 1.4907,                0.93911,                0.95261,             0.00019528,             0.00019528,             0.00019528
                      2,                 1.4625,                 0.9408,                0.93175,                0.82626,                0.68574,                0.76304,                0.55046,                 1.4697,                0.95984,                0.95115,             0.00038741,             0.00038741,             0.00038741
                      3,                  1.496,                0.97271,                0.94303,                0.82001,                0.68145,                0.75618,                0.52064,                 1.5483,                0.98267,                0.96859,             0.00057565,             0.00057565,             0.00057565
                      4,                 1.4986,                0.97188,                0.94696,                0.78715,                0.70819,                0.77408,                0.54038,                   1.51,                 0.9762,                0.96211,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.4829,                0.96334,                0.94014,                0.79895,                0.69044,                0.75344,                0.52804,                 1.5374,                 0.9841,                0.96694,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.5037,                0.97043,                0.93667,                0.78591,                0.69325,                0.75694,                0.52877,                 1.5369,                0.98086,                0.96351,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.4795,                 0.9623,                0.94045,                0.78923,                 0.6889,                0.75179,                0.53088,                 1.5225,                 1.0029,                0.96249,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.4754,                0.97427,                 0.9384,                 0.8008,                0.67997,                0.75178,                0.54025,                 1.4887,                0.98376,                0.95526,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.4771,                0.95726,                0.93853,                0.79893,                0.69658,                0.75907,                0.53403,                 1.5064,                0.96721,                0.95712,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.5064,                0.99683,                0.94381,                0.79618,                0.69517,                0.75846,                0.53454,                 1.4917,                0.96586,                0.95532,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.4862,                0.97582,                0.94025,                0.83177,                0.68366,                0.76212,                0.53705,                  1.511,                0.97767,                0.96449,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.4728,                0.96214,                0.93672,                0.78368,                0.71776,                0.76925,                0.53979,                 1.5043,                0.95544,                 0.9579,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.4429,                0.95092,                0.93573,                0.77031,                0.71449,                0.76216,                0.55083,                 1.4878,                0.95978,                0.95618,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.4868,                0.96863,                0.93847,                0.79966,                0.70469,                0.76883,                0.54654,                 1.5133,                0.96556,                0.96167,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.4745,                0.95873,                 0.9417,                0.79018,                0.71214,                0.76265,                0.54222,                 1.4995,                0.95766,                0.95797,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.4833,                0.97758,                0.93963,                0.83048,                0.68972,                0.76598,                0.54156,                 1.4946,                0.96314,                0.95526,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.4852,                0.96537,                0.94203,                0.76255,                0.70667,                0.75596,                0.54359,                 1.4918,                0.96318,                0.95424,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.4883,                0.96382,                0.93878,                0.80053,                0.69479,                0.75926,                0.53774,                 1.4924,                0.98182,                0.95641,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.4686,                0.94758,                0.93896,                0.80516,                0.70289,                 0.7775,                0.55671,                 1.4867,                0.94731,                0.95297,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.4575,                0.94396,                0.93289,                0.82477,                 0.6927,                 0.7651,                0.54325,                 1.4878,                0.94001,                0.95163,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.4835,                0.94993,                0.93683,                0.82899,                0.66956,                0.75149,                0.52801,                 1.5071,                 0.9547,                0.95901,              0.0004774,              0.0004774,              0.0004774
