                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7248,                 1.3025,                0.95575,                0.50989,                0.39412,                0.42514,                0.27835,                 1.6893,                 1.2425,                 0.9466,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.7188,                 1.3007,                0.96052,                 0.5106,                0.36843,                0.42277,                0.26931,                 1.7068,                  1.255,                0.95312,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.7316,                 1.2997,                0.95645,                0.58227,                0.36525,                0.41354,                 0.2648,                 1.6949,                 1.2895,                0.95227,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.7426,                 1.2989,                0.95341,                0.45136,                0.40343,                0.43289,                0.28504,                 1.6763,                 1.2061,                 0.9487,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.6963,                 1.2662,                0.94679,                0.45718,                 0.4176,                0.43195,                0.27747,                 1.7017,                 1.2051,                0.94973,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.7266,                 1.2802,                0.94916,                0.45685,                0.43596,                0.44797,                0.29766,                  1.651,                 1.1842,                0.94029,             0.00036679,             0.00036679,             0.00036679
                     41,                  1.658,                 1.2361,                0.94606,                0.53547,                0.39756,                0.45717,                0.29482,                 1.7098,                 1.2185,                0.94712,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.7003,                 1.2375,                0.94524,                0.49476,                0.45441,                0.47139,                0.30808,                 1.6534,                  1.196,                0.94083,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.6802,                 1.2359,                0.94766,                0.55353,                0.42443,                0.47079,                0.30375,                 1.6556,                 1.1978,                0.93884,             0.00034933,             0.00034933,             0.00034933
                     44,                  1.698,                 1.2354,                0.94411,                0.50487,                0.45149,                0.46618,                0.30189,                 1.6701,                 1.1747,                0.94134,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.6542,                 1.2188,                 0.9397,                0.52726,                  0.446,                 0.4755,                 0.3088,                 1.6715,                  1.189,                0.94409,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.6751,                 1.2025,                0.93918,                0.49435,                0.44535,                0.47354,                0.30227,                 1.6758,                 1.1865,                0.94425,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.6503,                 1.1944,                0.94109,                0.54396,                0.46527,                0.49734,                0.32822,                 1.6408,                  1.144,                0.93628,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.6408,                 1.1861,                0.93891,                0.57393,                0.44751,                0.48707,                0.31509,                 1.6778,                 1.1421,                0.93743,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.6599,                  1.192,                0.93773,                0.55818,                0.49166,                0.51465,                0.33818,                 1.6329,                 1.1446,                0.93303,              0.0003144,              0.0003144,              0.0003144
