                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7585,                 1.4775,                 1.0225,                0.52905,                 0.4499,                0.48389,                0.32343,                 1.6894,                 1.3707,                  1.015,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.7339,                 1.4519,                 1.0156,                0.50659,                0.47381,                0.47795,                0.32236,                 1.6883,                 1.3645,                 1.0119,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.7501,                 1.4639,                 1.0118,                0.51529,                0.49864,                0.49291,                0.33895,                 1.6648,                 1.3509,                 1.0063,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.6983,                 1.4202,                 1.0108,                0.60027,                 0.4748,                0.50345,                0.34345,                 1.6955,                 1.3363,                 1.0097,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.7108,                  1.429,                 1.0084,                0.60215,                0.46824,                0.51028,                 0.3428,                 1.6894,                  1.332,                 1.0119,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.7131,                  1.408,                 1.0077,                0.54788,                0.52384,                0.52579,                0.36128,                 1.6505,                 1.3211,                 1.0046,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.7069,                 1.3932,                 1.0113,                0.53697,                0.52239,                0.51765,                0.35512,                 1.6536,                 1.3196,                 1.0031,             0.00036679,             0.00036679,             0.00036679
                     41,                  1.687,                 1.3887,                 1.0031,                 0.5294,                0.52849,                0.52209,                0.35513,                 1.6673,                 1.3223,                 1.0043,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.7023,                 1.3951,                 1.0099,                0.58141,                0.53172,                0.54686,                0.37699,                 1.6477,                 1.3206,                 1.0016,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.7409,                 1.4042,                 1.0106,                0.62024,                0.48701,                0.51551,                0.35701,                 1.6628,                 1.3074,                 1.0018,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.7005,                 1.3773,                0.99753,                0.60747,                0.50545,                0.53203,                0.36457,                 1.6469,                 1.2917,                0.99769,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.6678,                 1.3444,                 0.9984,                0.59611,                0.51675,                0.55403,                0.37586,                 1.6661,                 1.2884,                  1.002,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.6827,                 1.3495,                0.99213,                0.60457,                0.52869,                0.55697,                0.37476,                 1.6622,                 1.2796,                 1.0029,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.6735,                 1.3287,                0.99188,                0.59519,                0.50834,                0.53586,                0.36662,                 1.6461,                 1.2777,                0.99704,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.6771,                  1.337,                0.99671,                0.62737,                0.54091,                0.56831,                0.38951,                 1.6442,                 1.2717,                 0.9987,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.6724,                 1.3208,                0.98972,                0.61334,                0.53567,                0.56464,                0.38216,                 1.6439,                 1.2584,                0.99674,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.6977,                 1.3381,                0.99502,                 0.6479,                0.51919,                0.55471,                0.37822,                  1.667,                 1.3104,                 1.0008,             0.00030858,             0.00030858,             0.00030858
                     51,                 1.6673,                 1.3094,                0.99795,                0.72462,                0.53467,                0.58671,                0.40478,                 1.6303,                 1.2272,                0.99233,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.7055,                 1.3227,                0.99743,                0.70489,                0.52466,                0.58238,                0.40123,                   1.64,                 1.2272,                0.99634,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.6471,                 1.2848,                0.98416,                0.65282,                0.53867,                 0.5913,                0.40556,                 1.6345,                 1.2219,                0.99792,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.6588,                 1.2867,                0.99065,                0.65295,                0.54004,                0.58313,                0.39607,                 1.6479,                 1.2507,                0.99746,              0.0002853,              0.0002853,              0.0002853
                     55,                 1.6644,                 1.2839,                0.99233,                0.67229,                0.55711,                0.60278,                0.41267,                 1.6312,                 1.2081,                0.99194,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.6689,                 1.2898,                0.98211,                0.66793,                0.55196,                0.60321,                 0.4179,                 1.6224,                 1.2049,                0.99047,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.6589,                 1.2763,                0.99191,                0.69402,                0.55542,                0.61107,                0.42312,                 1.6209,                 1.2027,                0.99361,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.6654,                 1.2842,                0.98599,                0.70115,                0.56102,                0.60444,                0.41149,                 1.6278,                 1.1989,                 0.9914,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.6584,                 1.2676,                0.98517,                0.65087,                0.56814,                 0.6047,                0.42107,                 1.6104,                 1.1949,                0.98507,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.6403,                 1.2424,                0.98172,                 0.6861,                0.54766,                0.60931,                0.42064,                 1.6144,                 1.2023,                0.98557,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.6427,                 1.2409,                0.98398,                0.67231,                 0.5678,                0.61889,                0.42658,                 1.6133,                 1.1988,                0.98685,             0.00024455,             0.00024455,             0.00024455
