                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5382,                 1.0615,                0.95732,                0.75924,                0.65524,                0.71268,                0.49361,                 1.5554,                 1.0523,                0.96816,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.5612,                 1.0663,                0.95862,                0.79892,                0.64317,                0.72197,                0.49723,                 1.5549,                 1.0487,                0.97548,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.5134,                 1.0311,                0.95588,                0.78434,                 0.6472,                0.71663,                0.48977,                 1.5838,                  1.038,                0.97605,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.5277,                   1.05,                0.95574,                0.78078,                0.66104,                0.72384,                 0.5064,                 1.5411,                 1.0314,                0.96777,             0.00037844,             0.00037844,             0.00037844
                     39,                  1.525,                 1.0425,                0.95173,                0.75373,                0.66525,                 0.7186,                0.51191,                 1.5151,                 1.0191,                0.96538,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.5289,                 1.0349,                0.95797,                0.78715,                0.66899,                0.73254,                0.52136,                 1.5223,                 1.0133,                0.96502,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.5007,                 1.0208,                0.95064,                0.74168,                0.66834,                0.71736,                0.49684,                 1.5367,                 1.0309,                0.96978,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.5144,                  1.026,                0.95512,                0.76592,                0.67275,                0.72845,                 0.5094,                 1.5343,                 1.0302,                0.97017,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.5475,                  1.044,                0.95674,                0.77359,                0.66906,                0.72794,                0.51156,                 1.5259,                 1.0193,                0.96602,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.5194,                 1.0289,                0.94757,                0.76805,                0.66648,                0.73063,                  0.511,                 1.5306,                 1.0155,                0.96328,             0.00034351,             0.00034351,             0.00034351
                     45,                  1.494,                 1.0095,                0.94861,                0.79723,                0.66075,                0.73551,                0.51635,                 1.5324,                 1.0116,                  0.967,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.5146,                 1.0257,                0.94626,                0.77411,                0.68341,                0.73553,                0.51139,                 1.5332,                 1.0102,                0.96435,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.5126,                 1.0113,                 0.9457,                0.80146,                0.66239,                0.73172,                0.52018,                 1.5029,                 1.0142,                0.95934,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.5118,                  1.013,                0.94947,                0.76394,                0.69039,                0.74432,                0.51964,                 1.5328,                 1.0183,                0.96728,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.4984,                  1.002,                0.94314,                0.76959,                0.68458,                0.73952,                0.51697,                  1.519,                 1.0058,                0.96269,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.4997,                 1.0086,                0.94274,                0.77245,                0.67455,                0.73645,                0.52515,                 1.5035,                0.99651,                0.95861,             0.00030858,             0.00030858,             0.00030858
                     51,                 1.4922,                0.99624,                0.94845,                0.79341,                0.68229,                0.74473,                0.52154,                 1.5077,                0.99412,                 0.9602,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.5302,                 1.0165,                0.94915,                0.76431,                0.68872,                0.73983,                0.51434,                 1.5456,                0.99898,                0.96745,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.4927,                0.99259,                0.94235,                0.81064,                0.68097,                0.74788,                0.52642,                 1.5122,                0.98634,                0.96195,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.4906,                 0.9882,                0.94524,                0.76242,                0.70152,                0.74616,                0.53085,                  1.507,                0.97814,                0.95881,              0.0002853,              0.0002853,              0.0002853
                     55,                 1.4994,                0.99209,                 0.9465,                 0.7888,                0.69371,                0.75197,                0.53063,                 1.5133,                0.97696,                0.95788,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.5031,                0.99741,                0.93798,                0.79451,                0.68354,                0.74764,                0.52484,                 1.5053,                 0.9842,                0.95702,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.4967,                0.98342,                0.94561,                0.81209,                0.69734,                0.75285,                0.53617,                 1.4932,                0.97581,                0.95668,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.5021,                0.99753,                0.94232,                0.79776,                0.68511,                0.75081,                0.53253,                 1.5058,                0.97654,                0.95725,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.5056,                0.98594,                  0.943,                0.78695,                0.70132,                0.75902,                0.54407,                 1.4893,                0.96623,                 0.9541,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.5031,                0.97757,                  0.943,                0.79586,                0.70374,                0.75862,                0.53721,                 1.5097,                0.97886,                0.95802,             0.00025037,             0.00025037,             0.00025037
                     61,                 1.4847,                0.97004,                0.93977,                0.80342,                0.70276,                 0.7553,                0.53939,                  1.491,                0.97335,                0.95533,             0.00024455,             0.00024455,             0.00024455
                     62,                 1.4698,                0.96564,                0.94095,                0.83291,                 0.6852,                 0.7595,                0.54103,                 1.4879,                0.96192,                0.95491,             0.00023873,             0.00023873,             0.00023873
                     63,                 1.4535,                0.95059,                0.93761,                0.82813,                0.69667,                0.75871,                0.54251,                 1.5015,                 0.9654,                0.95475,             0.00023291,             0.00023291,             0.00023291
                     64,                 1.4884,                0.97356,                0.94156,                0.80253,                0.69649,                 0.7665,                0.54376,                 1.5002,                0.96681,                0.95668,             0.00022709,             0.00022709,             0.00022709
                     65,                 1.4906,                0.97344,                0.93939,                0.82661,                0.69517,                0.76814,                0.55108,                 1.4928,                0.95656,                0.95314,             0.00022126,             0.00022126,             0.00022126
                     66,                 1.4737,                0.96508,                0.93751,                0.81121,                0.70085,                0.76496,                0.54448,                 1.4942,                0.95568,                0.95195,             0.00021544,             0.00021544,             0.00021544
                     67,                 1.4518,                0.94748,                0.93141,                0.79405,                0.68949,                0.75745,                0.54406,                 1.4839,                0.95176,                0.95188,             0.00020962,             0.00020962,             0.00020962
                     68,                 1.4571,                0.95974,                0.93586,                0.81864,                0.69201,                0.76035,                0.53898,                 1.4943,                0.96597,                0.95617,              0.0002038,              0.0002038,              0.0002038
                     69,                 1.4763,                0.96376,                0.94146,                0.80379,                0.70534,                0.76722,                0.54839,                 1.4911,                0.94867,                0.95384,             0.00019798,             0.00019798,             0.00019798
                     70,                 1.4393,                0.93941,                0.93531,                0.82082,                0.69936,                0.76503,                0.54735,                  1.482,                0.95307,                0.95293,             0.00019216,             0.00019216,             0.00019216
                     71,                 1.4627,                0.95361,                0.93484,                0.81513,                0.70098,                0.76258,                 0.5507,                 1.4735,                0.94603,                0.95032,             0.00018634,             0.00018634,             0.00018634
                     72,                 1.4639,                0.94915,                 0.9395,                0.79918,                0.69566,                0.75703,                0.53366,                 1.5134,                0.95557,                0.95902,             0.00018052,             0.00018052,             0.00018052
                     73,                 1.4544,                0.94848,                0.93096,                0.81819,                0.69746,                 0.7636,                  0.544,                 1.4956,                 0.9469,                0.95421,             0.00017469,             0.00017469,             0.00017469
                     74,                 1.4515,                0.94117,                0.93052,                0.82411,                0.69201,                0.76747,                0.55035,                  1.488,                0.94806,                0.95365,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.4635,                 0.9491,                0.93307,                0.79707,                0.70371,                0.76375,                0.55244,                 1.4757,                0.94308,                0.95048,             0.00016305,             0.00016305,             0.00016305
                     76,                 1.4368,                0.92845,                0.93175,                0.82887,                0.69504,                0.76822,                 0.5533,                 1.4833,                 0.9504,                0.95016,             0.00015723,             0.00015723,             0.00015723
                     77,                  1.448,                0.94344,                0.93526,                0.82759,                0.71098,                0.77521,                0.55934,                 1.4725,                 0.9414,                0.94935,             0.00015141,             0.00015141,             0.00015141
                     78,                 1.4535,                0.93826,                0.93216,                0.81292,                0.71342,                0.77162,                0.55379,                 1.4754,                0.94126,                0.94926,             0.00014559,             0.00014559,             0.00014559
                     79,                 1.4578,                0.93661,                0.92977,                0.83531,                0.72183,                0.77856,                0.55747,                 1.4783,                0.93165,                0.94894,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.4655,                0.94161,                0.93768,                0.81887,                0.71342,                0.77485,                0.55641,                 1.4795,                 0.9403,                0.94873,             0.00013395,             0.00013395,             0.00013395
                     81,                 1.4306,                0.92072,                0.92563,                0.85518,                0.69503,                0.77348,                 0.5547,                  1.471,                0.93355,                0.94798,             0.00012813,             0.00012813,             0.00012813
                     82,                 1.4649,                0.95522,                0.92814,                0.79659,                0.71956,                0.77711,                 0.5606,                 1.4675,                0.92865,                0.94705,              0.0001223,              0.0001223,              0.0001223
                     83,                  1.435,                0.92376,                0.93104,                 0.8255,                0.71211,                0.77715,                 0.5565,                  1.476,                0.93164,                0.95023,             0.00011648,             0.00011648,             0.00011648
                     84,                  1.438,                0.92748,                0.93197,                0.80894,                0.70515,                0.77655,                0.55889,                 1.4686,                0.93567,                 0.9495,             0.00011066,             0.00011066,             0.00011066
                     85,                 1.4403,                0.91982,                0.93148,                0.83341,                0.70492,                0.77592,                0.55878,                 1.4717,                0.93063,                0.94846,             0.00010484,             0.00010484,             0.00010484
                     86,                 1.4203,                0.90916,                 0.9305,                0.82366,                 0.7101,                0.77976,                0.55588,                 1.4699,                0.92897,                0.94805,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.4294,                0.91432,                0.92795,                0.83375,                0.70988,                0.78292,                0.56743,                 1.4552,                0.91636,                0.94444,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.4372,                0.92093,                0.92787,                0.83667,                 0.7181,                 0.7873,                0.56772,                 1.4609,                0.91347,                0.94654,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.4455,                0.93082,                0.92773,                0.81905,                 0.7231,                0.78105,                0.56509,                   1.46,                0.91767,                0.94525,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                 1.4172,                0.91071,                0.92618,                0.84625,                0.71573,                 0.7855,                0.56569,                 1.4668,                0.91238,                0.94771,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.4707,                0.93576,                0.92907,                0.79916,                0.72191,                0.77852,                0.56029,                 1.4651,                 0.9267,                0.94816,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.4623,                0.92023,                0.93019,                 0.7907,                0.71925,                0.77425,                0.55747,                 1.4638,                0.93532,                0.94838,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                 1.4463,                0.90765,                0.93019,                0.82595,                0.70823,                0.77572,                0.56369,                 1.4501,                0.92605,                0.94538,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                  1.462,                0.91858,                0.93041,                0.79863,                0.71433,                0.77212,                0.55764,                 1.4605,                0.92777,                0.94811,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.4435,                0.90024,                0.92774,                0.80961,                0.72395,                0.77804,                0.56446,                 1.4555,                0.92128,                0.94743,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                 1.4286,                0.89798,                 0.9231,                0.85381,                0.70369,                0.77934,                0.56235,                 1.4605,                0.92045,                0.94726,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 1.4528,                 0.9038,                0.92871,                0.82554,                0.71758,                0.77959,                0.56539,                  1.456,                0.92211,                0.94511,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                 1.4431,                0.89819,                0.92774,                0.80426,                0.72966,                0.78123,                0.56547,                 1.4532,                0.91583,                0.94551,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.4394,                0.89471,                0.92489,                0.82394,                 0.7223,                0.78251,                0.56573,                 1.4555,                0.91107,                0.94514,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                 1.4259,                0.88801,                0.92546,                0.80779,                0.73308,                0.78323,                0.56356,                 1.4602,                0.91457,                0.94558,             1.7522e-05,             1.7522e-05,             1.7522e-05
